poi_id,poi_name,poi_description,suggested_tags
1,"National Gallery Singapore","Take in the regionâ€™s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singaporeâ€™s awe-inspiring national monuments.","Art,Gallery,Museum,Modern,Architecture"
2,"Sultan Mosque (Masjid Sultan) Singapore","Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singaporeâ€™s Muslim community.","Mosque,Heritage,Architecture,Traditional,Culture"
3,"Sri Mariamman Temple: Hindu Temple in Singapore","Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.","Temple,Heritage,Architecture,Traditional,Culture"
4,"Armenian Church in Singapore","The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.","Church,Heritage,Architecture,Traditional,History"
5,"CHIJMES Singapore","Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.","Entertainment,Architecture,Heritage,Shopping"
6,"St Andrewâ€™s Cathedral- Singapore Architecture Landmark","Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.","Church,Architecture,Heritage,Traditional"
7,"Kreta Ayer Square","No description available","History,Culture,Heritage,Traditional"
8,"Albert Mall Trishaw Park","No description available","Park,Culture,Heritage,Traditional"
9,"Chinatown Food Street","No description available","Food,Culture,Traditional"
10,"Chinatown Heritage Centre, Singapore","Experience how Singaporeâ€™s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.","Museum,Heritage,Culture,History"
11,"Thian Hock Keng Temple, Singapore","Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.","Temple,Heritage,Traditional,Culture"
12,"Eurasian Heritage Centre: Singapore Attraction","This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.","Heritage,History,Culture,Museum"
13,"Shophouses","With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.","Architecture,Heritage,Traditional,History,Culture"
14,"Capitol Building Singapore","The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.","Architecture,History,Heritage,Entertainment,Culture"
15,"Esplanade Theatre","This boldly designed performing arts centre has become a memorable part of Singaporeâ€™s skyline.","Entertainment,Architecture,Modern,Art"
16,"Gardens by the Bay","The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes â€“ marvels of architecture, design and engineering.","Park,Nature,Architecture,Modern"
17,"The Interlace","Thereâ€™s more than meets the eye in The Interlaceâ€™s artful arrangement of residential blocks.","Architecture,Art,Modern"
18,"PARKROYAL on Pickering","PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.","Park,Architecture,Modern,Nature"
