id,name,description,latitude,longitude,created_at,opening_hours
1,National Gallery Singapore,Take in the regionâ€™s newest and largest museum of modern Singapore and Southeast Asian art housed within two of Singaporeâ€™s awe-inspiring national monuments.,1.29,103.851356,2025-10-02 09:08:56.805071+00,"Effective from 24 November 2015, Sunday to Thursday and  public holidays,10am - 7pm ,Friday to Saturday and  eve of public holidays, 10am - 10pm"
2,Sultan Mosque (Masjid Sultan) Singapore,"Also known as Masjid Sultan, the impressive Sultan Mosque in historic Kampong Glam is the focal point for Singaporeâ€™s Muslim community.",1.302,103.859171,2025-10-02 09:08:56.805071+00,"Monday to Sunday:9.30am â€“ 12pm and 2pm â€“ 4pm ,Friday:2.30pm â€“ 4pm"
3,Sri Mariamman Temple: Hindu Temple in Singapore,"Located in Chinatown, the Sri Mariamman Temple dates back to 1827 and is the oldest Hindu temple in Singapore.",1.282,103.84538,2025-10-02 09:08:56.805071+00,"Daily from 7am â€“ 12pm, and 6pm â€“ 9pm"
4,Armenian Church in Singapore,The oldest Christian church in Singapore is an architectural masterpiece from the early 19th century.,1.293,103.84966,2025-10-02 09:08:56.805071+00,"Daily, 9am â€“6pm"
5,CHIJMES Singapore,"Whether functioning as a school or a lifestyle and entertainment complex, it appears the beauty of CHIJMES is only equalled by its versatility.",1.295,103.85168,2025-10-02 09:08:56.805071+00,"Daily, 24 hours,Opening hours of businesses in CHIJMES may vary."
6,St Andrewâ€™s Cathedral- Singapore Architecture Landmark,Singapore's largest cathedral is a stellar example of colonial-era architecture and heritage.,1.292,103.85231,2025-10-02 09:08:56.805071+00,"Monday to Saturday, 9am â€“ 5pm"
7,Kreta Ayer Square,No description available,1.281198,103.8435853,2025-10-02 09:08:56.805071+00,
8,Albert Mall Trishaw Park,No description available,1.2995489,103.8534848,2025-10-02 09:08:56.805071+00,
9,Chinatown Food Street,No description available,1.2825533,103.8437924,2025-10-02 09:08:56.805071+00,
10,"Chinatown Heritage Centre, Singapore",Experience how Singaporeâ€™s early Chinese migrants once lived and learn more about local Chinese culture at the Chinatown Heritage Centre.,1.284,103.84435,2025-10-02 09:08:56.805071+00,"Daily, 9am â€“ 8pm,Last entry at 7pm.*Chinatown Heritage Centre will be closed for renovation from 1 October 2014 till end-2015."
11,"Thian Hock Keng Temple, Singapore","Beautifully restored, Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea.",1.281,103.84763,2025-10-02 09:08:56.805071+00,"Daily, 7.30am â€“ 5.30pm"
12,Eurasian Heritage Centre: Singapore Attraction,This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.,1.31,103.89942,2025-10-02 09:08:56.805071+00,"Tuesday to Sunday, 9am â€“ 6pm, Closed on Monday"
13,Shophouses,"With many beautifully preserved examples on hand today, the shophouses in Singapore are prime examples of timeless architectural appeal.",1.277,103.837336,2025-10-02 09:08:56.805071+00,
14,Capitol Building Singapore,The queen of Singapore cinemas will soon reclaim her crown as the premier entertainment hub when Capitol Building reopens next year.,1.294,103.85157,2025-10-02 09:08:56.805071+00,
15,Esplanade Theatre,This boldly designed performing arts centre has become a memorable part of Singaporeâ€™s skyline.,1.29,103.85528,2025-10-02 09:08:56.805071+00,
16,Gardens by the Bay,"The lush and beautiful Gardens by the Bay is dominated by the sleekly sculptured biodomes â€“ marvels of architecture, design and engineering.",1.282,103.863613,2025-10-02 09:08:56.805071+00,"Outdoor Gardens: 5am â€“ 2am,Conservatories: 9am â€“ 9pm,OCBC Skyway: 9am â€“ 9pm"
17,The Interlace,Thereâ€™s more than meets the eye in The Interlaceâ€™s artful arrangement of residential blocks.,1.282,103.80305,2025-10-02 09:08:56.805071+00,
18,PARKROYAL on Pickering,PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.,1.286,103.846522,2025-10-02 09:08:56.805071+00,
19,Lasalle College of the Arts,How can something that fits so perfectly into a cityscape evoke nature as well? It all lies in the design of Lasalle College of the Arts.,1.303,103.8516,2025-10-02 09:08:56.805071+00,"Administration Office, Monday to Friday, 9am to 6pm. Visitors can still walk around the campus after office opening hours"
20,Kranji War Memorial Landmark in Singapore,The Kranji War Memorial in Singapore honours the men and women from the Commonwealth who died in the line of duty during World War II.,1.419,103.75749,2025-10-02 09:08:56.805071+00,"Daily, 8am â€“ 6.30pm"
21,Indian National Army (INA) Monument in Singapore,This marker at Esplanade Park was one of the eleven World War II markers erected in 1995 to commemorate the 50th anniversary of the end of World War II.,1.29,103.854217,2025-10-02 09:08:56.805071+00,Daily
22,Reflections at Bukit Chandu: Singapore War Memorial,"This heritage centre relives the Battle of Pasir Panjang, one of the fiercest battles fought against the Japanese in Singapore during World War II.",1.28,103.79433,2025-10-02 09:08:56.805071+00,"Tuesday to Sunday, 9am â€“ 5.30pm,Closed on Monday (except on public holidays)"
23,The Cenotaph - a Singapore War Memorial Landmark,This war memorial in Esplanade Park honours the heroes who fought and died during World War I and World War II.,1.29,103.853838,2025-10-02 09:08:56.805071+00,Daily
24,The Civilian War Memorial park in Singapore,"Situated at the War Memorial Park in Beach Road, this memorial commemorates civilian victims of the Japanese Occupation in Singapore.",1.293,103.854618,2025-10-02 09:08:56.805071+00,Daily
25,Sri Veeramakaliamman Temple: Hindu Temple in Singapore,"Sri Veeramakaliamman Temple is one of Singaporeâ€™s oldest Hindu temples, in the heart of Little India.",1.308,103.85258,2025-10-02 09:08:56.805071+00,"Daily, 5.30am â€“ 9.30pm"
26,Maghain Aboth Synagogue,"The Maghain Aboth Synagogue is a gem in more ways than one, providing both a snapshot of history and a glimpse into a rich culture.",1.298,103.85081,2025-10-02 09:08:56.805071+00,"Visits are available only by appointment. For more information, email jewishwb@singnet.com.sg or call +65 6337 2189 (ext. 103)"
27,Old Supreme Court Singapore,"From dispensing justice to displaying art, the Old Supreme Court undergoes an overhaul for its new role as the National Gallery Singapore.",1.29,103.85128,2025-10-02 09:08:56.805071+00,Expected to open in 2015
28,SIT Flats Singapore,Take a walk back in time through the Art Deco architecture in the heritage neighbourhood of Tiong Bahru.,1.284,103.8336,2025-10-02 09:08:56.805071+00,
29,Lau Pa Sat Singapore,"The grande dame of markets in Singapore, Lau Pa Sat blends history, striking architecture and scrumptious local food into one heady experience.",1.281,103.85044,2025-10-02 09:08:56.805071+00,"Daily, 24 hours"
30,"Malay Heritage Centre, Singapore",The Malay Heritage Centre is a must-visit if youâ€™re keen on learning about the rich heritage and culture of Singaporeâ€™s Malay community.,1.303,103.85986,2025-10-02 09:08:56.805071+00,"Malay Heritage Centre Museum, Tuesday to Sunday, 10am â€“ 6pm, Closed on Monday, Malay Heritage Centre Compound, Tuesday to Sunday, 8am â€“ 8pm, Friday and Saturday, 8am â€“ 10pm, Closed on Monday"
31,Peranakan Museum Singapore: History & Culture,"Get to know Singaporeâ€™s vibrant Peranakan community and history at this top-notch museum, filled with fine artefacts and fun exhibits.",1.294,103.8492,2025-10-02 09:08:56.805071+00,"Saturday to Thursday, 10am â€“ 7pm, Friday, 10am â€“ 9pm"
32,Raffles Singapore,"Hark back to a golden age of elegant refinement and gracious living at Raffles Singapore, where the past reawakens to glorious life.",1.296,103.85404,2025-10-02 09:08:56.805071+00,"Daily, 24 hours"
33,Gillman Barracks â€“ YourSingapore,A former British military camp is now Asia's new Destination for Contemporary Art.,1.278,103.80459,2025-10-02 09:08:56.805071+00,"Tuesday to Saturday, 11am - 7pm, Sunday, 11am - 6pm , Galleries closed on Monday and public holidays."
